server_location,latency_min,latency_avg,type,iperf_run_number,distance,throughput_rolled3_avg,throughput_avg,throughput_max,throughput_90tile,throughput_95tile,throughput_median
east,87.5,141.90333333333334,tcp1c,60268,871,1296.1380105007336,1319.0562822257748,1407.6100267820018,1383.9708800281596,1391.5812225268996,1352.876519960883
central,24.7,105.14333333333333,tcp8,60271,234,1639.3727085596379,1687.0135893380545,1875.9698714777176,1812.4957316104458,1822.6016937559789,1776.5483996845696
central,24.7,105.14333333333333,tcp8,60272,234,1684.2783261130853,1733.704074411435,1859.6305776141385,1845.7496472834955,1854.7729664523395,1823.3431531879578
central,24.7,105.14333333333333,tcp1d,60273,234,567.3747617995642,578.0269773712723,621.5528424480838,612.9903884065657,617.2455518453685,604.1007346149825
central,24.7,105.14333333333333,tcp1d,60274,234,396.4201611586827,415.89486825654114,654.5790066075193,643.9555837620474,645.4132510329891,464.19674164067953
central,24.7,105.14333333333333,tcp1c,60275,234,996.3210343877138,1035.9741847793475,1225.2405381392293,1217.9281801259133,1221.9751323903192,1134.1328474308793
central,24.7,105.14333333333333,tcp1c,60276,234,753.8487551471155,792.2288376537236,1535.6660270762802,1368.0293032677241,1504.8778791435036,666.0379059053378
east2,43.3,124.83548387096774,tcp8,60283,962,1701.656160425159,1718.6950988103065,1842.4932996742737,1819.5136752959386,1825.9516001766533,1737.4379653037006
east2,43.3,124.83548387096774,tcp8,60285,962,1735.931139611503,1751.3388501944783,1854.8223342629647,1837.1309025491992,1847.5969863294793,1794.2323508781167
east2,43.3,124.83548387096774,tcp1c,60289,962,1187.9331330670175,1226.7068794799404,1409.417070068416,1393.410121335102,1395.6094527111443,1366.5457611423412
east2,43.3,124.83548387096774,tcp1c,60290,962,926.743150750816,968.1810793333183,1273.0464220658753,1256.4876116482128,1258.6810441323005,1170.456484051022
east2,43.3,124.83548387096774,tcp1d,60359,962,300.8934053345317,315.25268790519465,472.4671694364128,463.93399696393783,468.7883191193648,340.78226473596965
east2,43.3,124.83548387096774,tcp1d,60360,962,347.70803656069774,360.3470030406205,466.93477249052637,460.02473509223205,461.38239360390276,446.60999976515774
north-central,19.9,71.53666666666666,tcp8,60308,352,1832.123917349094,1837.4374304011035,1937.188791723615,1923.1260073653143,1929.463466797463,1898.7238593907323
north-central,19.9,71.53666666666666,tcp8,60309,352,1823.4089359306124,1828.6787209154377,1933.379640285289,1897.0564245074904,1912.0012050219016,1844.462371122943
north-central,19.9,71.53666666666666,tcp1d,60310,352,827.2360579140827,830.0308065632348,870.6849272128175,856.6705826540208,867.9662715541763,841.4081300780857
